                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.96507,                0.63311,                 1.2702,                0.93184,                0.84528,                0.93585,                0.68504,                 1.0022,                0.52093,                 1.3275,              0.0012313,              0.0012313,              0.0012313
                     36,                 0.9572,                0.64423,                 1.2803,                0.90642,                0.87031,                0.93353,                0.69164,                0.97961,                0.51249,                 1.3025,               0.001208,               0.001208,               0.001208
                     37,                0.95896,                0.63543,                 1.2728,                 0.9091,                0.87607,                0.93617,                0.68624,                0.98053,                0.51033,                 1.3104,              0.0011847,              0.0011847,              0.0011847
                     38,                0.93845,                0.61718,                 1.2679,                0.90695,                0.88713,                0.93852,                0.68604,                0.97579,                0.51391,                 1.3056,              0.0011614,              0.0011614,              0.0011614
                     39,                0.93211,                0.61724,                 1.2604,                0.91929,                0.86803,                0.93293,                 0.6892,                0.97369,                0.50604,                 1.3078,              0.0011381,              0.0011381,              0.0011381
                     40,                0.92698,                0.60669,                 1.2472,                0.89187,                0.88851,                0.93092,                0.68653,                0.97917,                0.51831,                 1.3092,              0.0011148,              0.0011148,              0.0011148
                     41,                0.93462,                0.60633,                 1.2596,                0.91251,                0.85427,                0.92406,                0.68978,                0.96402,                0.52396,                 1.2988,              0.0010915,              0.0010915,              0.0010915
                     42,                 0.9199,                0.59765,                 1.2455,                 0.9109,                0.88168,                 0.9357,                0.69464,                0.96662,                0.50791,                 1.2986,              0.0010682,              0.0010682,              0.0010682
                     43,                0.90102,                0.58579,                 1.2322,                0.93097,                0.86689,                0.93635,                0.68824,                 0.9804,                0.49222,                 1.3053,              0.0010449,              0.0010449,              0.0010449
                     44,                0.90026,                0.57832,                 1.2353,                 0.9022,                0.90444,                0.93882,                0.69447,                0.96177,                0.48633,                 1.3008,              0.0010216,              0.0010216,              0.0010216
                     45,                0.89533,                0.57484,                  1.236,                0.91152,                0.89072,                 0.9424,                0.69382,                0.96558,                0.48733,                 1.3086,             0.00099835,             0.00099835,             0.00099835
                     46,                0.88474,                0.56581,                 1.2206,                0.91546,                0.87471,                0.93356,                0.69005,                0.97959,                0.49476,                 1.3152,             0.00097506,             0.00097506,             0.00097506
                     47,                0.87936,                0.55779,                 1.2197,                0.89891,                 0.8902,                0.93802,                0.69445,                0.97653,                0.48713,                 1.3221,             0.00095176,             0.00095176,             0.00095176
                     48,                0.87516,                0.55354,                 1.2177,                0.89397,                0.88737,                0.93349,                0.69546,                0.95284,                0.48684,                  1.303,             0.00092847,             0.00092847,             0.00092847
                     49,                0.86521,                0.54832,                 1.2089,                0.90639,                0.89306,                0.93583,                0.69382,                0.95778,                0.48513,                  1.304,             0.00090518,             0.00090518,             0.00090518
                     50,                0.85418,                  0.539,                 1.2035,                0.91819,                0.88851,                0.93784,                0.69968,                0.96183,                0.47844,                 1.3078,             0.00088188,             0.00088188,             0.00088188
                     51,                0.85443,                0.54292,                 1.1998,                0.92316,                0.88836,                0.94023,                0.69224,                0.96462,                0.47998,                 1.3043,             0.00085859,             0.00085859,             0.00085859
                     52,                0.84831,                0.53153,                 1.2001,                0.90603,                0.88055,                0.93323,                0.69886,                0.95725,                0.48433,                  1.311,             0.00083529,             0.00083529,             0.00083529
                     53,                0.84325,                 0.5224,                 1.1944,                0.90431,                0.90313,                0.94149,                0.69977,                0.95705,                  0.476,                 1.3027,               0.000812,               0.000812,               0.000812
                     54,                0.82938,                0.51289,                 1.1816,                0.93244,                0.86364,                0.93401,                0.70368,                 0.9433,                 0.4876,                 1.3028,             0.00078871,             0.00078871,             0.00078871
                     55,                0.82529,                0.51564,                  1.183,                0.89326,                 0.8949,                0.93775,                0.70316,                0.95837,                0.47533,                 1.3257,             0.00076541,             0.00076541,             0.00076541
                     56,                0.82098,                0.50816,                 1.1811,                0.91809,                0.87486,                0.93993,                0.70679,                0.94843,                0.47252,                 1.3061,             0.00074212,             0.00074212,             0.00074212
                     57,                0.80838,                0.50595,                 1.1759,                0.90561,                0.88417,                0.93229,                0.69685,                0.94799,                0.48456,                 1.3072,             0.00071882,             0.00071882,             0.00071882
                     58,                0.80571,                0.50622,                 1.1804,                 0.9205,                0.86803,                0.93346,                0.70111,                0.94264,                 0.4782,                 1.3073,             0.00069553,             0.00069553,             0.00069553
